

==================================================
               TF for Training Set                
==================================================

     |  word_1  word_2  word_3  word_4  word_5  word_6  word_7  word_8  word_9 word_10
d1   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d2   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d3   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d4   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d5   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d6   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d7   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d8   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d9   |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d10  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d11  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d12  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d13  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d14  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d15  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d16  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d17  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d18  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d19  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d20  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d21  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d22  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d23  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d24  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d25  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d26  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d27  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d28  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d29  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d30  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d31  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d32  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d33  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d34  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d35  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d36  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d37  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d38  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d39  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d40  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d41  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d42  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d43  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d44  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d45  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d46  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d47  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d48  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d49  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d50  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d51  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d52  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d53  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d54  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d55  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d56  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d57  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d58  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d59  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d60  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d61  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d62  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d63  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d64  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d65  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d66  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d67  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d68  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d69  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d70  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d71  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d72  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d73  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d74  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d75  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d76  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d77  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d78  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d79  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d80  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d81  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d82  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d83  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d84  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d85  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d86  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d87  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d88  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d89  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d90  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d91  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d92  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d93  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d94  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d95  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d96  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d97  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d98  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d99  |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d100 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d101 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d102 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d103 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d104 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d105 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d106 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d107 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d108 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d109 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d110 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d111 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d112 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d113 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d114 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d115 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d116 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d117 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d118 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d119 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d120 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d121 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d122 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d123 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d124 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d125 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d126 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d127 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d128 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d129 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d130 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d131 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d132 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d133 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d134 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d135 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d136 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d137 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d138 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d139 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d140 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d141 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d142 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d143 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d144 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d145 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d146 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d147 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d148 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d149 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d150 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d151 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d152 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d153 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d154 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d155 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d156 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d157 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d158 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d159 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d160 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d161 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d162 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d163 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d164 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d165 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d166 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d167 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d168 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d169 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d170 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d171 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d172 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d173 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d174 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d175 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d176 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d177 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d178 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d179 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d180 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d181 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d182 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d183 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d184 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
d185 |    0.17    0.67    0.67    0.40    0.83    0.67    0.19    0.20    0.11    0.12
