

==================================================
                  Term Frequency                  
==================================================

     |  word_1  word_2  word_3  word_4  word_5  word_6  word_7  word_8  word_9 word_10
d1   |    0.17    0.33    0.00    0.17    0.00    0.17    0.17    0.00    0.17    0.33
d2   |    1.00    0.67    0.33    0.33    0.00    0.67    0.33    0.00    0.33    0.67
d3   |    1.00    0.33    0.67    0.67    0.17    0.67    0.17    0.33    0.17    0.00
d4   |    0.40    0.40    0.20    0.40    0.00    0.40    0.20    0.20    0.20    0.60
d5   |    0.67    0.33    0.00    0.67    0.83    0.83    0.17    0.00    0.17    0.00
d6   |    0.33    0.67    0.33    0.33    0.00    0.67    0.33    0.33    0.33    0.00
d7   |    0.71    0.10    0.19    0.29    0.67    0.24    0.19    0.00    0.05    0.19
d8   |    1.00    0.40    0.20    0.60    0.00    0.40    0.20    0.20    0.20    0.20
d9   |    0.89    0.22    0.00    0.44    0.11    0.22    0.11    0.00    0.11    0.00
d10  |    1.00    0.25    0.12    0.62    1.00    0.25    0.12    0.12    0.12    0.12
d11  |    0.33    0.67    0.00    0.33    0.67    0.67    0.33    0.00    0.33    0.00
d12  |    0.33    0.67    0.67    0.33    0.33    0.33    0.33    0.33    0.33    0.33
d13  |    0.50    0.50    0.00    0.50    0.00    0.50    0.25    0.00    0.25    0.00
d14  |    0.23    0.15    0.08    0.15    1.00    0.00    0.23    0.08    0.08    0.00
d15  |    0.60    0.40    0.20    1.00    0.00    0.40    0.20    0.20    0.20    0.00
d16  |    0.75    0.25    0.12    0.62    0.00    0.88    0.12    0.25    0.12    0.62
d17  |    0.20    0.10    0.05    0.05    1.00    0.00    0.05    0.05    0.05    0.00
d18  |    1.00    0.15    0.15    0.15    0.00    0.54    0.08    0.15    0.08    0.00
d19  |    0.20    0.40    0.00    0.20    0.20    0.40    0.20    0.00    0.20    0.40
d20  |    0.75    0.50    0.25    1.00    0.00    0.75    0.25    0.25    0.25    0.75
d21  |    0.78    0.22    0.11    0.00    0.67    0.11    0.11    0.11    0.11    0.00
d22  |    0.38    0.25    0.00    0.38    0.62    0.12    0.12    0.00    0.12    0.00
d23  |    0.83    0.33    0.00    0.67    0.50    0.50    0.17    0.00    0.17    0.00
d24  |    1.00    0.50    0.00    0.50    0.00    0.25    0.25    0.00    0.25    0.00
d25  |    0.47    0.12    0.06    0.00    1.00    0.12    0.06    0.06    0.06    0.00
d26  |    1.00    0.67    0.33    1.00    0.00    0.33    0.33    0.00    0.33    0.67
d27  |    0.67    0.33    0.33    0.17    0.00    0.17    0.33    0.00    0.67    0.33
d28  |    0.17    0.17    0.33    0.08    0.00    0.17    0.17    0.08    0.08    0.00
d29  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d30  |    1.00    0.20    0.50    0.70    0.00    0.30    0.10    0.50    0.10    0.60
d31  |    0.19    0.12    0.12    0.19    0.00    0.12    0.06    0.12    0.25    0.19
d32  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d33  |    0.50    0.33    0.17    0.50    0.33    0.50    0.17    0.17    0.17    0.00
d34  |    0.75    0.25    0.00    0.38    0.25    0.12    0.12    0.00    0.12    0.25
d35  |    1.00    0.50    0.00    0.00    0.75    0.50    0.25    0.00    0.25    0.00
d36  |    0.50    0.50    0.25    1.00    0.25    0.75    0.25    0.25    0.25    0.00
d37  |    0.33    0.33    0.17    0.33    0.50    0.17    0.17    0.00    0.17    0.00
d38  |    0.25    0.50    0.50    0.25    0.00    0.00    0.25    0.25    0.25    0.00
d39  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d40  |    0.56    0.22    0.00    1.00    0.00    0.56    0.11    0.00    0.11    0.00
d41  |    1.00    0.20    0.00    0.30    0.10    0.20    0.10    0.00    0.10    0.20
d42  |    0.20    0.40    0.20    0.20    0.00    0.60    0.20    0.20    0.20    0.20
d43  |    0.64    0.18    0.09    0.27    0.82    0.18    0.09    0.09    0.09    0.00
d44  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d45  |    0.50    1.00    0.00    0.50    0.00    0.00    0.50    0.00    0.50    0.00
d46  |    1.00    0.29    0.00    0.43    0.00    0.43    0.14    0.00    0.14    0.29
d47  |    1.00    0.20    0.20    0.30    0.30    0.10    0.10    0.10    0.10    0.00
d48  |    0.18    0.18    0.09    0.27    0.00    0.09    0.09    0.09    0.09    0.00
d49  |    0.80    0.40    0.20    0.80    0.00    0.40    0.20    0.20    0.20    0.40
d50  |    1.00    0.50    0.25    0.50    0.00    0.75    0.25    0.00    0.25    0.75
d51  |    0.67    0.33    0.00    0.00    1.00    0.17    0.17    0.00    0.17    0.00
d52  |    0.50    0.50    0.00    0.25    0.00    0.25    0.25    0.00    0.25    0.00
d53  |    0.50    0.33    0.17    0.17    0.00    0.33    0.17    0.17    0.17    0.00
d54  |    0.71    0.29    0.14    0.29    0.00    0.29    0.14    0.00    0.14    0.43
d55  |    1.00    0.67    0.67    1.00    0.33    0.67    0.33    0.33    0.33    1.00
d56  |    1.00    0.67    0.33    1.00    0.33    1.00    0.33    0.33    0.33    0.00
d57  |    0.59    0.09    0.00    0.14    0.09    0.05    0.05    0.00    0.05    0.09
d58  |    0.44    0.22    0.00    0.33    0.11    0.33    0.11    0.11    0.11    0.00
d59  |    0.60    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00
d60  |    0.20    0.20    0.40    0.10    0.00    0.40    0.10    0.30    0.10    0.00
d61  |    0.50    0.50    0.00    0.75    0.00    0.75    0.25    0.25    0.25    0.75
d62  |    0.33    0.67    0.67    0.33    0.00    0.33    0.33    0.67    0.33    0.00
d63  |    0.80    0.40    0.80    0.60    1.00    0.60    0.20    0.00    0.20    0.60
d64  |    1.00    0.33    0.00    0.50    0.17    0.50    0.17    0.00    0.17    0.00
d65  |    1.00    0.12    0.00    0.62    0.06    0.38    0.06    0.00    0.06    0.00
d66  |    0.71    0.29    0.00    0.71    0.14    0.29    0.43    0.00    0.14    0.57
d67  |    1.00    0.40    0.20    0.60    0.20    0.00    0.20    0.20    0.20    0.00
d68  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d69  |    0.17    0.33    0.00    0.00    0.17    0.33    0.17    0.00    0.17    0.00
d70  |    0.94    0.11    0.22    0.61    0.61    1.00    0.06    0.22    0.06    0.00
d71  |    1.00    0.40    0.00    1.00    0.40    0.60    0.20    0.00    0.20    0.60
d72  |    0.62    0.25    0.12    0.25    0.00    0.12    0.12    0.12    0.12    0.25
